Date,SP500,IBM
2021-02-05,3886.830078125,116.43403625488281
2021-02-08,3915.590087890625,118.17399597167969
2021-02-09,3911.22998046875,116.73040008544922
2021-02-10,3909.8798828125,116.86424255371094
2021-02-11,3916.3798828125,115.59273529052734
2021-02-12,3934.830078125,115.4875717163086
2021-02-16,3932.590087890625,114.7896728515625
2021-02-17,3931.330078125,114.69407653808594
2021-02-18,3913.969970703125,115.42064666748047
2021-02-19,3906.7099609375,113.75717163085938
2021-02-22,3876.5,115.54492950439453
2021-02-23,3881.3701171875,115.40152740478516
2021-02-24,3925.429931640625,117.79158782958984
2021-02-25,3829.340087890625,117.0841293334961
2021-02-26,3811.14990234375,113.6998062133789
2021-03-01,3901.820068359375,115.43020629882812
2021-03-02,3870.2900390625,115.03823852539062
2021-03-03,3819.719970703125,116.97896575927734
2021-03-04,3768.469970703125,114.82791900634766
2021-03-05,3841.93994140625,117.42829895019531
2021-03-08,3821.35009765625,119.32122039794922
2021-03-09,3875.43994140625,118.71892547607422
2021-03-10,3898.81005859375,122.24665069580078
2021-03-11,3939.340087890625,121.54875946044922
2021-03-12,3943.340087890625,121.99808502197266
2021-03-15,3968.93994140625,122.92543029785156
2021-03-16,3962.7099609375,122.60037994384766
2021-03-17,3974.1201171875,123.35564422607422
2021-03-18,3915.4599609375,124.34034729003906
2021-03-19,3913.10009765625,123.23136138916016
2021-03-22,3940.590087890625,124.80879211425781
2021-03-23,3910.52001953125,124.7227554321289
2021-03-24,3889.139892578125,124.87571716308594
2021-03-25,3909.52001953125,127.21797180175781
2021-03-26,3974.5400390625,130.38241577148438
2021-03-29,3971.090087890625,129.88528442382812
2021-03-30,3958.550048828125,128.79541015625
2021-03-31,3972.889892578125,127.39962005615234
2021-04-01,4019.8701171875,127.37093353271484
2021-04-05,4077.909912109375,129.9521942138672
2021-04-06,4073.93994140625,128.31739807128906
2021-04-07,4079.949951171875,128.9961700439453
2021-04-08,4097.169921875,129.17782592773438
