Date,^DJI
2021-12-01,-0.01347877
2021-12-02,0.01799447
2021-12-03,-0.00172525
2021-12-06,0.01853598
2021-12-07,0.01388107
2021-12-08,0.00098834
2021-12-09,-0.00000164
2021-12-10,0.00603124
2021-12-13,-0.00893696
2021-12-14,-0.00299935
2021-12-15,0.01072464
2021-12-16,-0.00082949
2021-12-17,-0.01493646
2021-12-20,-0.01232721
2021-12-21,0.01591912
2021-12-22,0.00733207
2021-12-23,0.00548553
2021-12-27,0.00973865
2021-12-28,0.00263635
2021-12-29,0.00248105
2021-12-30,-0.00248470
2021-12-31,-0.00164367
2022-01-03,0.00676762
2022-01-04,0.00584837
2022-01-05,-0.01072422
2022-01-06,-0.00469803
2022-01-07,-0.00013271
2022-01-10,-0.00450313
2022-01-11,0.00506489
2022-01-12,0.00105596
2022-01-13,-0.00488094
2022-01-14,-0.00560394
2022-01-18,-0.01524546
2022-01-19,-0.00965446
2022-01-20,-0.00898313
2022-01-21,-0.01304787
2022-01-24,0.00288880
2022-01-25,-0.00194487
2022-01-26,-0.00378702
2022-01-27,-0.00021392
2022-01-28,0.01639515
2022-01-31,0.01163501
2022-02-01,0.00775139
2022-02-02,0.00630934
2022-02-03,-0.01465009
2022-02-04,-0.00061030
2022-02-07,0.00003963
2022-02-08,0.01053537
2022-02-09,0.00857155
2022-02-10,-0.01482836
2022-02-11,-0.01439104
2022-02-14,-0.00496036
2022-02-15,0.01215364
2022-02-16,-0.00156087
2022-02-17,-0.01797222
2022-02-18,-0.00680943
2022-02-22,-0.01426148
2022-02-23,-0.01393276
2022-02-24,0.00277494
2022-02-25,0.02481964
2022-02-28,-0.00489023
2022-03-01,-0.01779104
2022-03-02,0.01775416
2022-03-03,-0.00285706
2022-03-04,-0.00533634
2022-03-07,-0.02400825
2022-03-08,-0.00564519
2022-03-09,0.01983137
2022-03-10,-0.00337584
2022-03-11,-0.00695360
2022-03-14,0.00003178
2022-03-15,0.01802140
2022-03-16,0.01534659
2022-03-17,0.01218680
2022-03-18,0.00791989
2022-03-21,-0.00582739
2022-03-22,0.00733772
2022-03-23,-0.01298232
2022-03-24,0.01011908
2022-03-25,0.00440704
2022-03-28,0.00271144
2022-03-29,0.00963140
2022-03-30,-0.00185423
2022-03-31,-0.01574856
2022-04-01,0.00402662
2022-04-04,0.00297130
2022-04-05,-0.00807040
2022-04-06,-0.00418493
2022-04-07,0.00252051
2022-04-08,0.00396946
2022-04-11,-0.01196734
2022-04-12,-0.00256007
2022-04-13,0.01000897
2022-04-14,-0.00328503
2022-04-18,-0.00114834
2022-04-19,0.01441130
2022-04-20,0.00712384
2022-04-21,-0.01052215
2022-04-22,-0.02861139
2022-04-25,0.00701622
2022-04-26,-0.02405483
2022-04-27,0.00185597
2022-04-28,0.01828305
2022-04-29,-0.02808165
2022-05-02,0.00255272
2022-05-03,0.00203320
2022-05-04,0.02775209
2022-05-05,-0.03170875
2022-05-06,-0.00299246
2022-05-09,-0.02006887
2022-05-10,-0.00263822
2022-05-11,-0.01020812
2022-05-12,-0.00326625
2022-05-13,0.01459064
2022-05-16,0.00083079
2022-05-17,0.01329191
2022-05-18,-0.03631316
2022-05-19,-0.00755271
2022-05-20,0.00028056
2022-05-23,0.01958627
2022-05-24,0.00151637
2022-05-25,0.00598483
2022-05-26,0.01596483
2022-05-27,0.01748777
2022-05-31,-0.00673203
2022-06-01,-0.00537635
2022-06-02,0.01317127
2022-06-03,-0.01053956
2022-06-06,0.00048870
2022-06-07,0.00799931
2022-06-08,-0.00814766
2022-06-09,-0.01957943
2022-06-10,-0.02764621
2022-06-13,-0.02830283
2022-06-14,-0.00499036
2022-06-15,0.00995199
2022-06-16,-0.02447359
2022-06-17,-0.00128030
2022-06-21,0.02123486
2022-06-22,-0.00154455
2022-06-23,0.00635146
2022-06-24,0.02648422
2022-06-27,-0.00198351
2022-06-28,-0.01574987
2022-06-29,0.00265651
2022-06-30,-0.00821563
2022-07-01,0.01040307
2022-07-05,-0.00417109
2022-07-06,0.00225333
2022-07-07,0.01111382
2022-07-08,-0.00147954
2022-07-11,-0.00525694
2022-07-12,-0.00619451
2022-07-13,-0.00675394
2022-07-14,-0.00464536
2022-07-15,0.02125747
2022-07-18,-0.00691624
2022-07-19,0.02398988
2022-07-20,0.00150040
2022-07-21,0.00507140
2022-07-22,-0.00430465
2022-07-25,0.00284085
2022-07-26,-0.00716848
2022-07-27,0.01363551
2022-07-28,0.01025979
2022-07-29,0.00965206
2022-08-01,-0.00142376
2022-08-02,-0.01233948
2022-08-03,0.01276934
2022-08-04,-0.00261461
2022-08-05,0.00233933
2022-08-08,0.00088580
2022-08-09,-0.00177204
2022-08-10,0.01619496
2022-08-11,0.00081506
2022-08-12,0.01264975
2022-08-15,0.00447416
2022-08-16,0.00703954
2022-08-17,-0.00503995
2022-08-18,0.00055072
2022-08-19,-0.00863449
2022-08-22,-0.01926450
2022-08-23,-0.00466916
2022-08-24,0.00181062
2022-08-25,0.00973584
2022-08-26,-0.03075738
2022-08-29,-0.00572861
2022-08-30,-0.00964546
2022-08-31,-0.00886052
2022-09-01,0.00462238
2022-09-02,-0.01073393
2022-09-06,-0.00554367
2022-09-07,0.01390114
2022-09-08,0.00610018
2022-09-09,0.01180097
2022-09-12,0.00711666
2022-09-13,-0.04021469
2022-09-14,0.00096784
2022-09-15,-0.00558063
2022-09-16,-0.00451250
2022-09-19,0.00637949
2022-09-20,-0.01015625
2022-09-21,-0.01716091
2022-09-22,-0.00355456
2022-09-23,-0.01629978
2022-09-26,-0.01120123
2022-09-27,-0.00430923
2022-09-28,0.01865956
2022-09-29,-0.01555407
2022-09-30,-0.01725979
2022-10-03,0.02629585
2022-10-04,0.02760477
2022-10-05,-0.00140126
2022-10-06,-0.01152588
2022-10-07,-0.02128114
2022-10-10,-0.00321056
2022-10-11,0.00124255
2022-10-12,-0.00096971
2022-10-13,0.02794704
2022-10-14,-0.01353688
2022-10-17,0.01842193
2022-10-18,0.01113444
2022-10-19,-0.00328119
2022-10-20,-0.00296987
2022-10-21,0.02439123
2022-10-24,0.01332855
2022-10-25,0.01064552
2022-10-26,0.00007441
2022-10-27,0.00607995
2022-10-28,0.02553557
2022-10-31,-0.00392872
2022-11-01,-0.00243936
2022-11-02,-0.01560007
2022-11-03,-0.00456780
2022-11-04,0.01248286
2022-11-07,0.01299353
2022-11-08,0.01011796
2022-11-09,-0.01970040
2022-11-10,0.03628495
2022-11-11,0.00096314
2022-11-14,-0.00627665
2022-11-15,0.00167505
2022-11-16,-0.00116443
2022-11-17,-0.00022378
2022-11-18,0.00592557
2022-11-21,-0.00134656
2022-11-22,0.01173553
2022-11-23,0.00281019
2022-11-25,0.00446368
2022-11-28,-0.01459251
2022-11-29,0.00009070
2022-11-30,0.02154419
2022-12-01,-0.00564641
2022-12-02,0.00101321
2022-12-05,-0.01412128
2022-12-06,-0.01038635
2022-12-07,0.00004709
2022-12-08,0.00544852
2022-12-09,-0.00907020
2022-12-12,0.01566619
2022-12-13,0.00304202
2022-12-14,-0.00418037
2022-12-15,-0.02275367
2022-12-16,-0.00852233
2022-12-19,-0.00496124
2022-12-20,0.00281064
2022-12-21,0.01590770
2022-12-22,-0.01051128
2022-12-23,0.00532804
2022-12-27,0.00113262
2022-12-28,-0.01106674
2022-12-29,0.01044209
2022-12-30,-0.00221645
2023-01-03,-0.00032825
2023-01-04,0.00401766
2023-01-05,-0.01026269
2023-01-06,0.02105018
2023-01-09,-0.00336453
2023-01-10,0.00554742
2023-01-11,0.00794690
2023-01-12,0.00636585
2023-01-13,0.00328914
2023-01-17,-0.01148636
2023-01-18,-0.01826894
2023-01-19,-0.00760922
2023-01-20,0.00996484
2023-01-23,0.00758365
2023-01-24,0.00309967
2023-01-25,0.00029280
2023-01-26,0.00607360
2023-01-27,0.00084408
2023-01-30,-0.00771073
2023-01-31,0.01088306
2023-02-01,0.00020305
2023-02-02,-0.00114516
2023-02-03,-0.00376375
2023-02-06,-0.00103196
2023-02-07,0.00780844
2023-02-08,-0.00609876
2023-02-09,-0.00736550
2023-02-10,0.00501386
2023-02-13,0.01105962
2023-02-14,-0.00458506
2023-02-15,0.00113699
2023-02-16,-0.01271524
2023-02-17,0.00384577
2023-02-21,-0.02082334
2023-02-22,-0.00255385
2023-02-23,0.00328768
2023-02-24,-0.01021637
2023-02-27,0.00219669
2023-02-28,-0.00709097
2023-03-01,0.00015740
2023-03-02,0.01040833
2023-03-03,0.01166972
2023-03-06,0.00121135
2023-03-07,-0.01734841
2023-03-08,-0.00176872
2023-03-09,-0.01671098
2023-03-10,-0.01076053
2023-03-13,-0.00284016
2023-03-14,0.01051240
2023-03-15,-0.00877189
2023-03-16,0.01160256
2023-03-17,-0.01199762
2023-03-20,0.01193651
2023-03-21,0.00975299
2023-03-22,-0.01642658
2023-03-23,0.00234319
2023-03-24,0.00411171
2023-03-27,0.00601678
2023-03-28,-0.00116712
2023-03-29,0.00993221
2023-03-30,0.00431348
2023-03-31,0.01255414
2023-04-03,0.00977947
2023-04-04,-0.00593312
2023-04-05,0.00240233
2023-04-06,0.00007676
2023-04-10,0.00301857
2023-04-11,0.00292159
2023-04-12,-0.00113733
2023-04-13,0.01132438
2023-04-14,-0.00421764
2023-04-17,0.00296760
2023-04-18,-0.00031048
2023-04-19,-0.00234604
2023-04-20,-0.00326196
2023-04-21,0.00066099
2023-04-24,0.00196316
2023-04-25,-0.01022378
2023-04-26,-0.00685167
2023-04-27,0.01562089
2023-04-28,0.00800896
2023-05-01,-0.00136349
2023-05-02,-0.01084122
2023-05-03,-0.00805661
2023-05-04,-0.00861116
2023-05-05,0.01636633
2023-05-08,-0.00165507
2023-05-09,-0.00169343
2023-05-10,-0.00090860
2023-05-11,-0.00663718
2023-05-12,-0.00026695
2023-05-15,0.00143979
2023-05-16,-0.01014045
2023-05-17,0.01230216
2023-05-18,0.00343926
2023-05-19,-0.00326395
2023-05-22,-0.00419860
2023-05-23,-0.00696593
2023-05-24,-0.00776219
2023-05-25,-0.00107593
2023-05-26,0.00998185
2023-05-30,-0.00152893
2023-05-31,-0.00407914
2023-06-01,0.00464761
2023-06-02,0.02098688
2023-06-05,-0.00593839
2023-06-06,0.00031047
2023-06-07,0.00272875
2023-06-08,0.00499537
2023-06-09,0.00127519
2023-06-12,0.00557959
2023-06-13,0.00427055
2023-06-14,-0.00682766
2023-06-15,0.01253846
2023-06-16,-0.00317107
2023-06-20,-0.00717602
2023-06-21,-0.00301010
